"","Codigo","Sexo","Escuela","Grado","Grupo","EscuelaGradoGrupo","Calificacin","Tareas","LentoXRastreador","Conteo1P","Conteo2P","Conteo3P","ConteoT","Target","Validacin","NumEntrenamientos","ConteoCorrecto","ConteocorrectoyTarget","ConteoCorrecto1213","ConteocorrectoyTarget1213","Niveldeactividad","SonrisayRisa","Placeraltaintensidad","Impulsividad","Aprox","Timidez","Miedo","Malestar","Tristeza","Frustracin","Autotranquilizacion","controlInhibitorio","Placerbajaintensidad","Sensibilidadperceptual","Atencionfoc","distractibilidad","conjuntoatencion","ControlEsforzadocondistractibilidad","AfectoNegativo","ExtraversinSurgency","CESindistractibilidad","Alerta","Orientacion","Conflicto","CEAltosBajos","ANAltosBajos","SurgencyAltosBajos","CESindistracAltosBajos","CEsuperaltosbajos","ANsuperaltosbajos","Sugencysuperaltosbajos","CEsindistracsuperaltosbajos","AlertaAltosBajos","OrientacionAltosBajos","ConflictoAltosNajos","Perfiles","PerfilessinDistractibilidad","NiveldeactividadALTOSBAJOS","SonrisayRisaALTOSBAJOS","PlaceraltaintensidadALTOSBAJOS","ImpulsividadALTOSBAJOS","AproxALTOSBAJOS","TimidezALTOSBAJOS","MiedoALTOSBAJOS","MalestarALTOSBAJOS","TristezaALTOSBAJOS","FrustracinALTOSBAJOS","AutotranquilizacionALTOSBAJOS","controlInhibitorioALTOSBAJOS","PlacerbajaintensidadALTOSBAJOS","SensibilidadperceptualALTOSBAJOS","AtencionfocALTOSBAJOS","distractibilidadALTOSBAJOS","conjuntoatencionALTOSBAJOS","ANT_percentcorrect"
"1",1,"1",1,1,1,"1.1A",6.1,"COMPLETO","",10,NA,NA,11,1,NA,1,1,1,0,0,3.92,4.23,4.69,4.08,4.46,3.92,4.4,3.4,4.5,4.46,4.15,3.33,4,4.09,4.44,4.4,4.43,4.053737374,4.183076923,4.216880342,3.967171717,26.5,-30.5,29.5,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,75.69
"2",2,"0",1,1,1,"1.1A",7.1,"Falta Gorila y ANT","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5.42,5.83,4.92,5.58,1.92,2.92,2.91,3.92,4.23,5,5.42,6.08,6.09,4.67,4.5,4.62,5.351515152,3.794638695,4.777777778,5.564393939,NA,NA,NA,1,0,1,1,1,0,NA,1,NA,NA,NA,2,2,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,NA
"3",3,"0",1,1,1,"1.1A",9.3,"COMPLETO","",6,7,NA,10,1,NA,2,0,0,0,0,4.08,4.23,4.46,4.77,5.38,4.08,5,4.67,5,4.69,4.77,4,4.46,5,4.33,4.2,4.29,4.398974359,4.825641026,4.5,4.448717949,-289,39,39,0,1,0,0,0,1,NA,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,17.36
"4",4,"0",1,1,1,"1.1A",8.7,"Falta Gorila y ANT","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.77,4.77,3.85,4.23,5.58,3.77,3.67,3.45,4.18,4.92,5.23,4.23,5.15,4.5,3.56,4.25,3.77,4.338034188,4.291375291,4.49465812,4.360042735,NA,NA,NA,0,0,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,NA
"5",5,"0",1,1,1,"1.1A",9.3,"COMPLETO","",10,NA,NA,13,1,NA,1,1,1,1,1,5.46,5.85,5.69,5.23,6.15,2.54,4.17,3.67,4,4.69,4.85,3.77,5.31,5,4,4.2,4.07,4.455384615,4.274358974,5.153846154,4.519230769,102,-49.5,-11,0,0,1,0,NA,NA,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,79.17
"6",6,"1",1,1,1,"1.1A",6.7,"COMPLETO","",9,NA,NA,12,0,1,1,1,0,1,0,4.58,4.18,5,4.09,5.08,3.67,2.89,4.11,4.45,4.6,3.54,4.42,4.8,4,3.22,4.4,3.64,4.167777778,3.918601399,4.434343434,4.109722222,186,29,97,0,0,0,0,0,0,NA,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,84.03
"7",7,"1",1,1,1,"1.1A",7.7,"Falta Gorila y ANT","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.08,4.46,3.92,4.31,5.08,2.38,3.67,4,3.83,3.62,4.5,4.77,5.15,5.08,4,4.4,4.14,4.681282051,3.923076923,4.038461538,4.751602564,NA,NA,NA,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,NA
"8",8,"1",1,1,1,"1.1A",6.6,"COMPLETO","",10,NA,NA,8,1,NA,1,0,0,0,0,5.15,4.69,4.77,4.85,5,3.38,4.58,4.58,4.67,4.46,4.46,4.31,5.23,4.5,4,3.4,3.79,4.287692308,4.551282051,4.641025641,4.509615385,67,52.5,19,0,1,1,0,0,1,NA,0,1,1,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,70.14
"9",9,"0",1,1,1,"1.1A",7.8,"Falta Gorila y ANT","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.92,4,4,3.62,4.15,4.08,3.08,4.08,3.5,3.38,3.33,3.77,4.31,3.58,3.89,4.2,4,3.94982906,3.476923077,3.794871795,3.887286325,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA
"10",10,"1",1,1,1,"1.1A",7,"Falta Gorila y ANT","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.54,5.38,5.77,5.85,5.77,2.62,3.83,3.5,3.91,5.46,3.85,3.46,5.54,5.5,2.78,2.8,2.79,4.015555556,4.11002331,5.153846154,4.319444444,NA,NA,NA,0,0,1,0,0,0,1,0,NA,NA,NA,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,NA
